時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:16.3,0.373916566,0.140253991,0.367303044,0.130276695,2.743713379,2.576858521,TRUE,TRUE
42:16.3,0.373916566,0.140253991,0.367303044,0.130276695,2.743713379,2.576858521,TRUE,TRUE
42:16.3,0.377622932,0.143620908,0.366776645,0.136468157,2.736709595,2.576461792,TRUE,TRUE
42:16.3,0.377622932,0.143620908,0.366776645,0.136468157,2.736709595,2.576461792,TRUE,TRUE
42:16.3,0.377046645,0.145084724,0.367896944,0.136574477,2.731613159,2.576599121,TRUE,TRUE
42:16.3,0.377046645,0.145084724,0.367896944,0.136574477,2.731613159,2.576599121,TRUE,TRUE
42:16.3,0.375864387,0.145356357,0.369183779,0.133355215,2.726913452,2.583404541,TRUE,TRUE
42:16.3,0.375864387,0.145356357,0.369183779,0.133355215,2.726913452,2.583404541,TRUE,TRUE
42:16.3,0.373582453,0.144111127,0.368783504,0.135869518,2.737945557,2.573898315,TRUE,TRUE
42:16.3,0.373582453,0.144111127,0.368783504,0.135869518,2.737945557,2.573898315,TRUE,TRUE
42:16.4,0.370444745,0.135808855,0.36732465,0.130748838,2.729187012,2.56451416,TRUE,TRUE
42:16.4,0.370444745,0.135808855,0.36732465,0.130748838,2.729187012,2.56451416,TRUE,TRUE
42:16.4,0.37429601,0.134896547,0.370397776,0.120279036,2.714904785,2.54977417,TRUE,TRUE
42:16.4,0.37429601,0.134896547,0.370397776,0.120279036,2.714904785,2.54977417,TRUE,TRUE
42:16.4,0.378064573,0.13131392,0.372691482,0.110731184,2.710159302,2.538848877,TRUE,TRUE
42:16.4,0.378064573,0.13131392,0.372691482,0.110731184,2.710159302,2.538848877,TRUE,TRUE
42:16.4,0.378064573,0.13131392,0.372691482,0.110731184,2.710159302,2.538848877,TRUE,TRUE
42:16.4,0.379104525,0.129137218,0.372064352,0.110261157,2.694778442,2.542388916,TRUE,TRUE
42:16.4,0.379104525,0.129137218,0.372064352,0.110261157,2.694778442,2.542388916,TRUE,TRUE
42:16.4,0.379104525,0.129137218,0.372064352,0.110261157,2.694778442,2.542388916,TRUE,TRUE
42:16.4,0.380182743,0.130565077,0.372021973,0.113443792,2.672683716,2.538467407,TRUE,TRUE
42:16.4,0.380182743,0.130565077,0.372021973,0.113443792,2.672683716,2.538467407,TRUE,TRUE
42:16.4,0.380182743,0.130565077,0.372021973,0.113443792,2.672683716,2.538467407,TRUE,TRUE
42:16.4,0.382243484,0.127160475,0.371419638,0.113598309,2.690963745,2.531448364,TRUE,TRUE
42:16.4,0.382243484,0.127160475,0.371419638,0.113598309,2.690963745,2.531448364,TRUE,TRUE
42:16.4,0.382243484,0.127160475,0.371419638,0.113598309,2.690963745,2.531448364,TRUE,TRUE
42:16.5,0.383142203,0.125149488,0.371778011,0.110918693,2.705276489,2.538116455,TRUE,TRUE
42:16.5,0.383142203,0.125149488,0.371778011,0.110918693,2.705276489,2.538116455,TRUE,TRUE
42:16.5,0.383142203,0.125149488,0.371778011,0.110918693,2.705276489,2.538116455,TRUE,TRUE
42:16.5,0.380729347,0.127662331,0.372764647,0.109690577,2.703552246,2.534118652,TRUE,TRUE
42:16.5,0.380729347,0.127662331,0.372764647,0.109690577,2.703552246,2.534118652,TRUE,TRUE
