時刻,緯度,経度,上下視野角,カメラ方向,カメラ上下角度,panoID,URL
42:36.8,35.6816224,139.7671548,75,125,90,BNZvVEG2JWABMuBopDzp-w,https://www.google.com/maps/@35.6816224.139.7671548.2a.75y.125h.90t/data=!3m6!1e1!3m4!1sBNZvVEG2JWABMuBopDzp-w!2e0!7i13312!8i6656
42:38.7,35.6816224,139.7671548,75,189.65,90,BNZvVEG2JWABMuBopDzp-w,https://www.google.com/maps/@35.6816224.139.7671548.2a.75y.189.65h.90t/data=!3m6!1e1!3m4!1sBNZvVEG2JWABMuBopDzp-w!2e0!7i13312!8i6656
42:39.6,35.6816224,139.7671548,75,214.42,90,BNZvVEG2JWABMuBopDzp-w,https://www.google.com/maps/@35.6816224.139.7671548.2a.75y.214.42h.90t/data=!3m6!1e1!3m4!1sBNZvVEG2JWABMuBopDzp-w!2e0!7i13312!8i6656
42:41.1,35.6815921,139.7671427,75,214.42,90,uTo2BEN2LIdqkg8sgRUybg,https://www.google.com/maps/@35.6815921.139.7671427.2a.75y.214.42h.90t/data=!3m6!1e1!3m4!1suTo2BEN2LIdqkg8sgRUybg!2e0!7i13312!8i6656
42:41.5,35.6815921,139.7671427,75,210.34,90,uTo2BEN2LIdqkg8sgRUybg,https://www.google.com/maps/@35.6815921.139.7671427.2a.75y.210.34h.90t/data=!3m6!1e1!3m4!1suTo2BEN2LIdqkg8sgRUybg!2e0!7i13312!8i6656
42:42.2,35.6815617,139.7671313,75,210.34,90,YmzpyRymyn658WEwUzSsdQ,https://www.google.com/maps/@35.6815617.139.7671313.2a.75y.210.34h.90t/data=!3m6!1e1!3m4!1sYmzpyRymyn658WEwUzSsdQ!2e0!7i13312!8i6656
42:44.2,35.6815312,139.7671198,75,210.34,90,3HW1k8DG5bv4AqhQ0HE-9Q,https://www.google.com/maps/@35.6815312.139.7671198.2a.75y.210.34h.90t/data=!3m6!1e1!3m4!1s3HW1k8DG5bv4AqhQ0HE-9Q!2e0!7i13312!8i6656
42:44.8,35.6815312,139.7671198,75,199.73,90,3HW1k8DG5bv4AqhQ0HE-9Q,https://www.google.com/maps/@35.6815312.139.7671198.2a.75y.199.73h.90t/data=!3m6!1e1!3m4!1s3HW1k8DG5bv4AqhQ0HE-9Q!2e0!7i13312!8i6656
42:45.6,35.6815004,139.7671118,75,199.73,90,SWtZ3r4XpplOu23XnBjXcg,https://www.google.com/maps/@35.6815004.139.7671118.2a.75y.199.73h.90t/data=!3m6!1e1!3m4!1sSWtZ3r4XpplOu23XnBjXcg!2e0!7i13312!8i6656
42:47.0,35.6814686,139.7671092,75,199.73,90,UIMVi9CkWMQV2rsHpHqKRQ,https://www.google.com/maps/@35.6814686.139.7671092.2a.75y.199.73h.90t/data=!3m6!1e1!3m4!1sUIMVi9CkWMQV2rsHpHqKRQ!2e0!7i13312!8i6656
